Name,StudentID,Age,Gender,AttendanceRate,AcademicPerformance,CounselingSessions,BehaviorIncidents,LastHelpDate,HotlineCalls,AI_RecommendedAction
Student_1,1,17,M,84.6,74.4,1,مشاكل تركيز,2024-08-21,0,
Student_2,2,15,F,100.0,99.5,0,مشاكل تركيز,2024-01-10,0,
Student_3,3,12,F,76.8,60.5,0,مشاكل تركيز,2024-04-10,0,
Student_4,4,17,F,76.3,88.6,1,مشاكل تركيز,2024-03-22,0,
Student_5,5,16,F,97.4,70.8,0,سلوك طبيعي,2024-09-25,0,
Student_6,6,14,F,96.6,81.6,1,مشاكل تركيز,2024-09-03,0,
Student_7,7,14,M,91.5,100.0,0,سلوك طبيعي,2024-11-21,0,
Student_8,8,12,M,85.1,83.3,2,سلوك طبيعي,2024-02-01,0,
Student_9,9,15,F,93.0,79.5,0,سلوك طبيعي,2024-06-03,0,
Student_10,10,15,F,100.0,94.2,1,مشاكل تركيز,2024-01-11,0,
Student_11,11,16,M,100.0,88.5,0,مشاكل تركيز,2024-03-20,0,
Student_12,12,12,F,71.4,65.4,0,سلوك طبيعي,2024-07-03,0,
Student_13,13,14,F,83.8,78.5,1,سلوك طبيعي,2024-01-10,0,
Student_14,14,15,M,83.2,54.4,0,مشاكل تركيز,2024-03-13,0,
Student_15,15,12,F,100.0,68.5,2,سلوك طبيعي,2024-08-25,1,
Student_16,16,15,F,63.2,78.8,2,سلوك طبيعي,2024-07-17,0,
Student_17,17,17,F,93.1,67.8,0,سلوك طبيعي,2024-03-21,0,
Student_18,18,15,F,85.4,78.3,1,سلوك طبيعي,2024-08-03,0,
Student_19,19,14,M,100.0,74.8,1,سلوك طبيعي,2024-10-22,0,
Student_20,20,13,F,100.0,81.4,1,سلوك طبيعي,2024-01-03,0,
Student_21,21,16,M,91.7,69.9,0,سلوك طبيعي,2024-10-21,0,
Student_22,22,16,M,72.2,63.7,1,سلوك طبيعي,2024-09-11,0,
Student_23,23,14,F,82.3,92.7,0,سلوك طبيعي,2024-05-04,0,
Student_24,24,15,M,83.4,69.1,0,سلوك طبيعي,2024-02-26,0,
Student_25,25,12,M,74.7,82.9,0,مشاكل تركيز,2024-12-15,0,
Student_26,26,15,F,99.5,92.2,0,مشاكل تركيز,2024-05-02,0,
Student_27,27,14,M,73.5,77.0,1,سلوك طبيعي,2024-02-03,0,
Student_28,28,16,M,100.0,64.7,3,سلوك طبيعي,2024-02-05,0,
Student_29,29,15,F,100.0,72.9,1,مشاكل تركيز,2024-11-05,0,
Student_30,30,16,F,84.1,87.2,1,مشاكل تركيز,2024-08-08,0,
Student_31,31,12,M,91.3,77.5,1,سلوك طبيعي,2024-10-21,1,
Student_32,32,16,F,87.3,60.5,1,سلوك طبيعي,2024-09-23,0,
Student_33,33,16,M,97.0,82.2,2,سلوك طبيعي,2024-07-14,0,
Student_34,34,13,F,100.0,84.2,1,مشاكل تركيز,2024-12-21,0,
Student_35,35,13,F,90.6,70.7,0,سلوك طبيعي,2024-05-18,0,
Student_36,36,17,F,92.7,82.3,0,مشاكل تركيز,2024-07-20,0,
Student_37,37,13,F,81.8,77.9,0,مشاكل تركيز,2024-10-29,0,
Student_38,38,16,F,92.4,72.6,1,مشاكل تركيز,2024-08-13,0,
Student_39,39,14,F,89.6,59.5,0,مشاكل تركيز,2024-11-10,0,
Student_40,40,16,M,78.9,87.9,4,مشاكل تركيز,2024-07-29,0,
Student_41,41,14,M,87.9,84.1,0,سلوك طبيعي,2024-09-14,0,
Student_42,42,14,F,84.2,82.0,0,مشاكل تركيز,2024-01-17,0,
Student_43,43,13,M,81.9,93.5,1,سلوك طبيعي,2024-03-24,0,
Student_44,44,15,F,76.5,86.3,1,سلوك طبيعي,2024-04-15,0,
Student_45,45,12,M,88.6,83.2,0,مشاكل تركيز,2024-01-30,0,
Student_46,46,13,F,80.2,48.4,1,مشاكل تركيز,2024-03-25,0,
Student_47,47,13,M,83.3,89.4,1,سلوك طبيعي,2024-02-06,0,
Student_48,48,15,M,98.8,76.0,0,سلوك طبيعي,2024-04-11,0,
Student_49,49,12,F,94.3,78.7,0,مشاكل تركيز,2024-08-20,0,
Student_50,50,16,M,78.2,78.8,2,سلوك طبيعي,2024-05-13,0,
Student_51,51,17,F,91.5,84.3,1,مشاكل تركيز,2024-05-15,0,
Student_52,52,17,M,89.3,88.5,0,سلوك طبيعي,2024-03-17,0,
Student_53,53,16,M,100.0,82.6,0,سلوك طبيعي,2024-04-07,0,
Student_54,54,13,F,100.0,80.7,1,سلوك طبيعي,2024-12-07,1,
Student_55,55,12,M,72.7,77.8,0,سلوك طبيعي,2024-08-24,0,
Student_56,56,13,F,96.6,40.0,1,سلوك طبيعي,2024-08-10,0,
Student_57,57,14,F,100.0,71.5,0,مشاكل تركيز,2024-03-03,0,
Student_58,58,13,F,93.6,63.7,0,سلوك طبيعي,2024-09-23,0,
Student_59,59,13,F,84.6,89.5,0,مشاكل تركيز,2024-02-29,0,
Student_60,60,16,F,100.0,82.4,0,سلوك طبيعي,2024-05-18,0,
Student_61,61,16,F,94.5,69.5,1,مشاكل تركيز,2024-12-27,0,
Student_62,62,16,M,100.0,70.7,1,سلوك طبيعي,2024-08-21,0,
Student_63,63,17,M,100.0,70.3,0,مشاكل تركيز,2024-07-22,0,
Student_64,64,14,M,92.6,70.1,0,مشاكل تركيز,2024-09-06,1,
Student_65,65,16,M,82.2,57.7,0,مشاكل تركيز,2024-11-03,0,
Student_66,66,12,F,87.8,55.1,1,سلوك طبيعي,2024-10-10,0,
Student_67,67,17,F,85.8,75.3,2,سلوك طبيعي,2024-03-24,0,
Student_68,68,15,M,75.9,87.9,1,سلوك طبيعي,2024-01-12,0,
Student_69,69,12,M,94.5,68.5,1,مشاكل تركيز,2024-04-25,0,
Student_70,70,12,M,100.0,78.6,0,سلوك طبيعي,2024-04-07,0,
Student_71,71,16,F,85.0,83.8,0,سلوك طبيعي,2024-03-18,0,
Student_72,72,15,F,100.0,63.1,0,مشاكل تركيز,2024-12-10,0,
Student_73,73,15,M,72.4,74.8,0,سلوك طبيعي,2024-11-15,0,
Student_74,74,17,F,98.5,67.0,1,سلوك طبيعي,2024-04-24,0,
Student_75,75,15,F,100.0,94.3,2,سلوك طبيعي,2024-08-27,0,
Student_76,76,14,M,86.0,93.7,0,مشاكل تركيز,2024-05-24,0,
Student_77,77,16,F,86.1,63.1,3,مشاكل تركيز,2024-11-29,0,
Student_78,78,15,F,98.4,79.6,0,مشاكل تركيز,2024-06-16,0,
Student_79,79,17,M,93.1,87.8,0,سلوك طبيعي,2024-04-06,0,
Student_80,80,14,M,68.0,85.2,0,سلوك طبيعي,2024-03-31,0,
Student_81,81,13,M,79.6,76.0,2,سلوك طبيعي,2024-07-23,0,
Student_82,82,13,M,87.9,90.7,2,مشاكل تركيز,2024-04-05,0,
Student_83,83,14,F,74.3,64.1,0,سلوك طبيعي,2024-08-01,0,
Student_84,84,17,F,83.3,71.4,1,مشاكل تركيز,2024-11-23,0,
Student_85,85,14,M,74.6,64.5,2,مشاكل تركيز,2024-05-25,0,
Student_86,86,16,M,84.3,84.4,1,سلوك طبيعي,2024-03-21,0,
Student_87,87,16,M,84.6,68.0,2,مشاكل تركيز,2024-12-30,0,
Student_88,88,13,M,91.5,72.9,0,مشاكل تركيز,2024-07-04,0,
Student_89,89,15,F,87.1,82.4,0,مشاكل تركيز,2024-02-03,0,
Student_90,90,17,M,93.0,83.4,2,سلوك طبيعي,2024-01-18,0,
Student_91,91,13,M,91.8,64.1,0,سلوك طبيعي,2024-02-10,0,
Student_92,92,15,M,98.3,87.7,2,سلوك طبيعي,2024-08-17,0,
Student_93,93,15,F,96.7,80.5,1,سلوك طبيعي,2024-10-16,0,
Student_94,94,16,M,95.7,62.0,0,سلوك طبيعي,2024-06-03,0,
Student_95,95,12,F,100.0,59.1,1,سلوك طبيعي,2024-01-24,0,
Student_96,96,12,M,91.5,74.8,0,سلوك طبيعي,2024-05-19,0,
Student_97,97,14,F,100.0,85.2,0,مشاكل تركيز,2024-12-29,0,
Student_98,98,16,F,92.1,85.5,2,سلوك طبيعي,2024-07-12,0,
Student_99,99,15,M,87.2,79.3,0,سلوك طبيعي,2024-12-20,0,
Student_100,100,17,M,84.3,75.6,2,سلوك طبيعي,2024-11-10,0,
Student_101,101,12,F,100.0,81.1,1,مشاكل تركيز,2024-01-05,0,
Student_102,102,15,F,100.0,64.7,1,سلوك طبيعي,2024-09-20,0,
Student_103,103,12,M,94.0,95.2,0,مشاكل تركيز,2024-09-05,0,
Student_104,104,12,M,99.3,95.1,1,مشاكل تركيز,2024-07-14,0,
Student_105,105,12,F,75.2,80.1,0,سلوك طبيعي,2024-04-07,0,
Student_106,106,17,F,72.5,77.4,1,انسحاب اجتماعي,2024-08-21,0,
Student_107,107,16,M,100.0,70.1,1,مشاكل تركيز,2024-02-10,0,
Student_108,108,17,F,86.7,81.3,1,تأخر مستمر عن الصف,2024-06-07,0,
Student_109,109,13,M,95.5,66.7,2,سلوك طبيعي,2024-06-14,0,
Student_110,110,15,F,80.8,48.3,2,سلوك طبيعي,2024-12-14,1,
Student_111,111,16,M,100.0,42.4,0,مشاكل تركيز,2024-11-15,0,
Student_112,112,16,M,72.6,65.4,1,سلوك طبيعي,2024-04-06,0,
Student_113,113,16,M,74.1,76.9,2,مشاكل تركيز,2024-07-01,0,
Student_114,114,16,F,100.0,79.0,1,مشاكل تركيز,2024-03-06,0,
Student_115,115,17,M,61.9,69.2,1,سلوك طبيعي,2024-11-29,0,
Student_116,116,16,M,91.8,76.7,0,سلوك طبيعي,2024-11-13,0,
Student_117,117,14,M,86.9,71.7,2,مشاكل تركيز,2024-04-18,0,
Student_118,118,15,M,80.6,63.0,1,مشاكل تركيز,2024-08-21,0,
Student_119,119,16,F,86.0,74.4,1,مشاكل تركيز,2024-08-10,0,
Student_120,120,15,M,79.5,84.8,4,مشاكل تركيز,2024-02-25,0,
Student_121,121,14,F,100.0,63.6,1,مشاكل تركيز,2024-10-05,0,
Student_122,122,14,F,100.0,63.6,1,سلوك طبيعي,2024-07-15,0,
Student_123,123,15,F,81.1,62.2,2,سلوك طبيعي,2024-10-11,0,
Student_124,124,12,M,90.8,51.8,0,سلوك طبيعي,2024-07-12,0,
Student_125,125,13,M,74.7,69.2,1,سلوك طبيعي,2024-01-01,0,
Student_126,126,12,M,98.7,83.6,0,سلوك طبيعي,2024-04-28,0,
Student_127,127,12,M,98.5,77.1,0,مشاكل تركيز,2024-01-08,0,
Student_128,128,17,M,85.0,73.0,0,سلوك طبيعي,2024-12-05,0,
Student_129,129,12,F,88.2,76.5,1,مشاكل تركيز,2024-11-16,1,
Student_130,130,16,M,87.1,69.1,0,مشاكل تركيز,2024-10-30,0,
Student_131,131,17,M,71.8,51.6,0,مشاكل تركيز,2024-04-22,0,
Student_132,132,17,F,100.0,84.4,0,سلوك طبيعي,2024-01-22,0,
Student_133,133,14,M,80.3,87.9,0,مشاكل تركيز,2024-11-16,0,
Student_134,134,12,F,80.4,66.3,0,تأخر مستمر عن الصف,2024-12-11,0,
Student_135,135,14,F,86.5,73.2,0,مشاكل تركيز,2024-02-01,0,
Student_136,136,15,M,98.0,72.2,0,سلوك طبيعي,2024-06-26,0,
Student_137,137,13,F,82.1,79.2,1,مشاكل تركيز,2024-01-26,0,
Student_138,138,17,F,68.5,95.3,1,سلوك طبيعي,2024-10-04,0,
Student_139,139,15,F,79.1,88.9,1,انسحاب اجتماعي,2024-10-06,0,
Student_140,140,15,M,92.2,70.5,1,مشاكل تركيز,2024-02-16,0,
Student_141,141,16,M,100.0,81.5,1,سلوك طبيعي,2024-06-22,0,
Student_142,142,13,F,75.4,90.1,2,سلوك طبيعي,2024-07-19,0,
Student_143,143,15,M,75.0,79.9,0,مشاكل تركيز,2024-04-06,0,
Student_144,144,15,M,72.9,74.9,0,مشاكل تركيز,2024-11-14,0,
Student_145,145,13,M,71.6,80.4,3,انسحاب اجتماعي,2024-06-03,0,
Student_146,146,13,F,100.0,66.6,0,مشاكل تركيز,2024-03-18,1,
Student_147,147,15,M,100.0,68.3,0,مشاكل تركيز,2024-07-15,0,
Student_148,148,13,F,89.8,62.2,1,سلوك طبيعي,2024-09-23,0,
Student_149,149,15,F,83.3,78.7,1,سلوك طبيعي,2024-03-14,0,
Student_150,150,15,F,100.0,73.4,1,سلوك طبيعي,2024-04-23,0,
Student_151,151,16,F,89.7,65.1,1,مشاكل تركيز,2024-12-29,0,
Student_152,152,12,F,98.9,73.0,1,سلوك طبيعي,2024-08-25,0,
Student_153,153,15,F,82.8,80.6,1,سلوك طبيعي,2024-06-08,0,
Student_154,154,14,M,88.4,98.0,2,مشاكل تركيز,2024-07-07,0,
Student_155,155,17,F,75.6,87.1,0,سلوك طبيعي,2024-02-14,0,
Student_156,156,12,M,94.3,47.6,2,سلوك طبيعي,2024-03-23,0,
Student_157,157,12,M,89.9,77.9,0,مشاكل تركيز,2024-05-03,0,
Student_158,158,12,M,79.1,92.2,2,سلوك طبيعي,2024-08-02,0,
Student_159,159,16,F,79.2,58.9,0,مشاكل تركيز,2024-03-24,0,
Student_160,160,15,M,100.0,81.6,1,مشاكل تركيز,2024-03-21,0,
Student_161,161,16,F,100.0,72.2,0,مشاكل تركيز,2024-01-26,0,
Student_162,162,15,F,85.9,88.8,1,انسحاب اجتماعي,2024-08-18,0,
Student_163,163,16,F,88.7,79.9,1,سلوك طبيعي,2024-03-24,0,
Student_164,164,16,F,92.0,64.4,0,سلوك طبيعي,2024-11-26,0,
Student_165,165,17,F,89.5,72.6,0,مشاكل تركيز,2024-11-09,0,
Student_166,166,14,F,71.3,73.3,0,مشاكل تركيز,2024-01-26,0,
Student_167,167,16,F,92.3,73.5,0,مشاكل تركيز,2024-03-27,0,
Student_168,168,17,F,67.1,88.4,1,سلوك طبيعي,2024-09-01,0,
Student_169,169,13,F,80.7,64.9,4,سلوك طبيعي,2024-03-19,0,
Student_170,170,14,F,93.1,87.0,1,مشاكل تركيز,2024-02-18,0,
Student_171,171,16,M,94.0,71.4,0,سلوك طبيعي,2024-12-07,0,
Student_172,172,12,M,79.9,77.7,1,مشاكل تركيز,2024-07-27,0,
Student_173,173,13,M,83.4,75.9,0,مشاكل تركيز,2024-06-21,0,
Student_174,174,13,M,82.1,74.7,2,سلوك طبيعي,2024-10-13,0,
Student_175,175,17,F,87.0,74.8,2,مشاكل تركيز,2024-10-21,1,
Student_176,176,13,F,87.7,92.5,1,سلوك طبيعي,2024-03-10,0,
Student_177,177,14,F,94.7,85.1,1,سلوك طبيعي,2024-02-05,0,
Student_178,178,16,M,82.8,70.6,0,سلوك طبيعي,2024-06-06,0,
Student_179,179,16,F,91.7,94.0,2,مشاكل تركيز,2024-06-03,0,
Student_180,180,12,F,93.1,78.3,0,سلوك طبيعي,2024-06-19,0,
Student_181,181,17,F,90.0,79.3,1,مشاكل تركيز,2024-09-23,0,
Student_182,182,12,F,85.4,65.0,0,مشاكل تركيز,2024-09-02,0,
Student_183,183,13,F,89.8,69.0,0,مشاكل تركيز,2024-12-25,0,
Student_184,184,12,M,95.5,66.7,0,مشاكل تركيز,2024-02-05,0,
Student_185,185,14,F,96.4,76.0,2,مشاكل تركيز,2024-05-26,0,
Student_186,186,16,M,100.0,82.7,1,مشاكل تركيز,2024-05-03,0,
Student_187,187,13,M,78.1,79.4,2,تأخر مستمر عن الصف,2024-11-10,1,
